,2018 Rank,City,State,2018 estimate,2010 census,Percentage of change,Land area sq mi,Land area sq km,Population density /sq mi,Population density /sq km,Location,Link,LD,SD
64,64,St. Louis,Missouri,302838,319294,−5.15,62,160.6,5023,1939,38°38′09″N90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ /38.6357; -90.2446﻿ ,/wiki/St._Louis,,
65,65,Cincinnati,Ohio,302605,296943,1.91,77.4,200.5,3860,1490,39°08′25″N84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ /39.1402; -84.5058﻿ ,/wiki/Cincinnati,"Cincinnati splashes up the Ohio River's banks. Its prettiness surprises, as do its neon troves, its European-style neighborhoods and the locals' unashamed ardor for a five-way. Amid all that action, don't forget to catch a baseball game, stroll the bridge-striped riverfront and visit the dummy museum.",is riverside renewal
66,66,Pittsburgh,Pennsylvania,301048,305704,−1.52,55.4,143.5,5481,2116,40°26′23″N79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ /40.4398; -79.9766﻿ ,/wiki/Pittsburgh,"There may be more beautiful cities than Pittsburgh, but few mix the seemingly contradictory aesthetics of filigreed beaux-arts elegance with muscular art-deco swagger. This a city of stone and steel, with old public libraries and brick row houses beside wide bridges and towering skyscrapers. There's an old-school class to Pittsburgh's good looks, underlined by an attitude towards dining, drinking and the arts that is genuinely innovative.",
67,67,Greensboro,North Carolina,294722,269666,9.29,128.3,332.3,2237,864,36°05′42″N79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ /36.0951; -79.8270﻿ ,"/wiki/Greensboro,_North_Carolina",,
68,68,Anchorage,Alaska,291538,291826,−0.10,1706.6,4420.1,175,68,61°10′27″N149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ /61.1743; -149.2843﻿ ,"/wiki/Anchorage,_Alaska","Once you realize that Anchorage isn’t simply a big city on the edge of the wilderness but rather a big city in the wilderness, it starts to make sense. The town manages to mingle hiking trails and traffic jams, small art galleries and Big Oil like no other city. Among big chain stores and mini-malls, there are more than 100 miles of city trails meandering in hidden greenbelts and a creek downtown where anglers line up to catch trophy salmon.", 
69,69,Plano,Texas,288061,259841,10.86,71.7,185.7,3990,1540,33°03′03″N96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ /33.0508; -96.7479﻿ ,"/wiki/Plano,_Texas",,
70,70,Lincoln,Nebraska,287401,258379,11.23,92.1,238.5,3044,1175,40°48′38″N96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ /40.8105; -96.6803﻿ ,"/wiki/Lincoln,_Nebraska","Ringed by historic city gates – including the Newport Arch on Bailgate, a relic from the original Roman settlement – this beautiful city's old centre is a tangle of cobbled medieval streets surrounding its 11th-century castle and colossal 12th-century cathedral. The lanes that topple over the edge of Lincoln Cliff are lined with Tudor town houses, ancient pubs and independent shops.",
71,71,Orlando,Florida,285713,238300,19.9,105.2,272.5,2635,1017,28°25′00″N81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ /28.4166; -81.2736﻿ ,"/wiki/Orlando,_Florida","It's so easy to get caught up in Greater Orlando – in the isolated, fabricated worlds of Disney or Universal Orlando (for which, let's face it, you're probably here) – that you forget all about the downtown city of Orlando itself. It has a lot to offer: lovely tree-lined neighborhoods; a rich performing arts and museum scene; several fantastic gardens and nature preserves; fabulous cuisine; great craft cocktails; and a delightfully slower pace devoid of manic crowds. So, sure, enjoy the theme parks and the sparkles, nostalgia and adrenaline-pumped fantasy there, but also take time to 'Find Orlando.' Come down off the coasters for one day to explore the quieter, gentler side of the city. You may be surprised to find that you enjoy the theme parks all that much more as a result.",is full of thrills
72,72,Irvine,California,282572,212375,33.05,65.6,169.9,4057,1566,33°40′42″N117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ /33.6784; -117.7713﻿ ,"/wiki/Irvine,_California","Irvine is a sizeable town that was an important harbour and industrial centre before falling on hard times in the 20th century. It's worth a visit particularly for its waterfront, which has a worthwhile museum, pleasant cafe, little art gallery and a decent pub for lunch afterwards.", 
73,73,Newark,New Jersey,282090,277140,1.79,24.1,62.4,11691,4514,40°43′27″N74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ /40.7242; -74.1726﻿ ,"/wiki/Newark,_New_Jersey","An economic engine of Jersey during the Industrial Age, Newark has been long mired in images of the 1960s race riots. Crime, poverty and dwindling finances continue to mar the city's reputation, though downtown streets bustle with shoppers and office workers during warmer months.", 
74,74,Toledo,Ohio,274975,287208,−4.26,80.7,209,3451,1332,41°39′51″N83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ /41.6641; -83.5819﻿ ,"/wiki/Toledo,_Ohio",,
75,75,Durham,North Carolina,274291,228330,20.13,109.8,284.4,2395,925,35°58′52″N78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ /35.9811; -78.9029﻿ ,"/wiki/Durham,_North_Carolina","England's most beautiful Romanesque cathedral, a huge castle, and, surrounding them both, a cobweb of hilly, cobbled streets – filled with upper-crust students attending England's third university of choice (after Oxford and Cambridge) during term time – make Durham an ideal day trip from Newcastle or overnight stop.",
76,76,Chula Vista,California,271651,243916,11.37,49.6,128.5,5387,2080,32°37′40″N117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ /32.6277; -117.0152﻿ ,"/wiki/Chula_Vista,_California",,
77,77,Fort Wayne,Indiana,267633,253691,5.5,110.6,286.5,2391,923,41°05′18″N85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ /41.0882; -85.1439﻿ ,"/wiki/Fort_Wayne,_Indiana",,
78,78,Jersey City,New Jersey,265549,247597,7.25,14.8,38.3,17848,6891,40°42′41″N74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ /40.7114; -74.0648﻿ ,"/wiki/Jersey_City,_New_Jersey",,
79,79,St. Petersburg,Florida,265098,244769,8.31,61.8,160.1,4223,1631,27°45′43″N82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ /27.7620; -82.6441﻿ ,"/wiki/St._Petersburg,_Florida",,
80,80,Laredo,Texas,261639,236091,10.82,101.1,261.8,2544,982,27°33′37″N99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ /27.5604; -99.4892﻿ ,"/wiki/Laredo,_Texas","Even more than other Texas border towns, Laredo has always been tightly entwined with its sister city to the south, the fittingly named Nuevo Laredo (New Laredo). News stories of drug violence and tight border controls have severely crimped a place where Mexico and the US seemed to blend the most seamlessly even just a decade ago.", 
81,81,Madison,Wisconsin,258054,233209,10.65,77,199.4,3280,1270,43°05′16″N89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ /43.0878; -89.4299﻿ ,"/wiki/Madison,_Wisconsin","Madison reaps a lot of kudos – most walkable city, best road-biking city, most vegetarian-friendly, gay-friendly, environmentally friendly and just plain all-round friendliest city in the USA. Ensconced on a narrow isthmus between Mendota and Monona Lakes, it's a pretty combination of small, grassy state capital and liberal, bookish college town. An impressive foodie/locavore scene has been cooking here for years.",
82,82,Chandler,Arizona,257165,236123,8.91,64.9,168.1,3813,1472,33°16′58″N111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ /33.2829; -111.8549﻿ ,"/wiki/Chandler,_Arizona",,
83,83,Buffalo,New York,256304,261310,−1.92,40.4,104.6,6359,2455,42°53′33″N78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ /42.8925; -78.8597﻿ ,"/wiki/Buffalo,_New_York",,
84,84,Lubbock,Texas,255885,229573,11.46,124.6,322.7,2027,783,33°33′56″N101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ /33.5656; -101.8867﻿ ,"/wiki/Lubbock,_Texas","'Lubbock or leave it' sing the Dixie Chicks, but this seemingly characteristic bit of Texas bravado isn't what it seems, as the song includes sardonic lines such as 'Got more churches than trees.' And while you'll see plenty of steeples on the horizon, what will really strike you about west Texas' liveliest city is its celebration of life beyond cotton and cows.", 
85,85,Scottsdale,Arizona,255310,217385,17.45,183.9,476.3,1341,518,33°41′03″N111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ /33.6843; -111.8611﻿ ,"/wiki/Scottsdale,_Arizona",, 
86,86,Reno,Nevada,250998,225221,11.45,107.3,277.9,2286,883,39°32′57″N119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ /39.5491; -119.8499﻿ ,"/wiki/Reno,_Nevada","Reno has a compact clutch of big casinos in the shadow of the Sierra Nevada. It has a reputation for being a 'poor man's Vegas,' but while in some ways that cap fits, we're here to set the record straight: Reno is oh, so much more. Beyond the garish downtown, with its photoworthy mid-century modern architecture, neon signs and alpine-fed Truckee River, sprawls a city of parks and pretty houses inhabited by a friendly bunch eager to welcome you.",
87,87,Glendale,Arizona,250702,226721,10.58,59.1,153.1,4161,1607,33°31′59″N112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ /33.5331; -112.1899﻿ ,"/wiki/Glendale,_Arizona",,
88,88,Gilbert,Arizona,248279,208453,19.11,68,176.1,3487,1346,33°18′37″N111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ /33.3103; -111.7431﻿ ,"/wiki/Gilbert,_Arizona",,
89,89,Winston–Salem,North Carolina,246328,229617,7.28,132.5,343.2,1828,706,36°06′10″N80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ /36.1027; -80.2610﻿ ,"/wiki/Winston%E2%80%93Salem,_North_Carolina",,
90,90,North Las Vegas,Nevada,245949,216961,13.36,98,253.8,2436,941,36°17′09″N115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ /36.2857; -115.0939﻿ ,"/wiki/North_Las_Vegas,_Nevada",,
91,91,Norfolk,Virginia,244076,242803,0.52,53.3,138,4599,1776,36°55′23″N76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ /36.9230; -76.2446﻿ ,"/wiki/Norfolk,_Virginia",,
92,92,Chesapeake,Virginia,242634,222209,9.19,338.5,876.7,703,271,36°40′46″N76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ /36.6794; -76.3018﻿ ,"/wiki/Chesapeake,_Virginia",,
93,93,Garland,Texas,242507,226876,6.89,57,147.6,4122,1592,32°54′35″N96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ /32.9098; -96.6303﻿ ,"/wiki/Garland,_Texas",,
94,94,Irving,Texas,242242,216290,12,67,173.5,3557,1373,32°51′28″N96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ /32.8577; -96.9700﻿ ,"/wiki/Irving,_Texas",,
95,95,Hialeah,Florida,238942,224669,6.35,21.5,55.7,10995,4245,25°52′12″N80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ /25.8699; -80.3029﻿ ,"/wiki/Hialeah,_Florida",,
96,96,Fremont,California,237807,214089,11.08,77.5,200.7,3008,1161,37°29′40″N121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ /37.4945; -121.9412﻿ ,"/wiki/Fremont,_California",,
97,97,Boise,Idaho,228790,205671,11.24,82.1,212.6,2718,1049,43°36′01″N116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ /43.6002; -116.2317﻿ ,"/wiki/Boise,_Idaho","Refreshingly modern, urban and trendy are not words you usually associate with Idaho towns, but the state's capital (and largest city) isn't really into stereotypes. Boise’s lively downtown scene – complete with walking streets, Parisian-style bistros and sophisticated wine bars – would fit in on the East Coast. The network of trails shooting up from town to the forested hills above rivals some of Colorado’s best hiking destinations. Floating through the Greenbelt is as good as anything you’ll find along Austin, Texas’ beloved tubing circuit. Sample a steaming pan of paella in the Basque Block and you might as well be in Bilbao. With so much going on, you won’t know what to make of Boise, but Boise will undoubtedly make a lasting impression on you.",
98,98,Richmond,Virginia,228783,204214,12.03,59.8,154.9,3732,1441,37°31′53″N77°28′34″W﻿ / ﻿37.5314°N 77.4760°W﻿ /37.5314; -77.4760﻿ ,"/wiki/Richmond,_Virginia","Richmond has woken up from a very long nap – and we like it. The capital of the commonwealth of Virginia since 1780, and the capital of the Confederacy during the Civil War, it's long been an old-fashioned city clinging too tightly to its Southern roots. But an influx of new and creative young residents is energizing and modernizing the community.",is a sunrise on the James
99,99,Baton Rouge,Louisiana,221599,229493,−3.44,85.9,222.5,2651,1024,30°26′32″N91°07′51″W﻿ / ﻿30.4422°N 91.1309°W﻿ /30.4422; -91.1309﻿ ,"/wiki/Baton_Rouge,_Louisiana","In 1699 French explorers came face to face with a reddened cypress pole, a staked boundary marker used by Bayagoulas and Houma Native Americans to demarcate their respective hunting grounds. These French, who were apparently cut from some literal-minded cloth, decided to name the area baton rouge – red stick.",
100,100,Spokane,Washington,219190,208916,4.92,68.7,177.9,3144,1214,47°40′01″N117°26′00″W﻿ / ﻿47.6669°N 117.4333°W﻿ /47.6669; -117.4333﻿ ,"/wiki/Spokane,_Washington","Washington's second-biggest population center (edging out Tacoma by about 7000 people) is a welcome break after the treeless monotony of the eastern Scablands. Situated at the nexus of the Pacific Northwest's 'Inland Empire,' this understated yet confident city sits clustered on the banks of the Spokane River. Though rarely touted in national tourist blurbs, Spokane hosts the world's largest mass-participation running event (May's annual Bloomsday Run), a stunning gilded-age hotel (the Davenport) and a spectacular waterfall throwing up angry white spray in the middle of its downtown. It was also the childhood home of crooner Bing Crosby, and it remains the smallest city to have ever hosted an Expo (the 1974 World's Fair). Prepare yourself for some interesting revelations: there's more to this modest metropolis than meets the eye.", 
101,101,Des Moines,Iowa,216853,203433,6.6,88.9,230.2,2424,936,41°34′21″N93°36′37″W﻿ / ﻿41.5726°N 93.6102°W﻿ /41.5726; -93.6102﻿ ,"/wiki/Des_Moines,_Iowa","Des Moines, meaning 'of the monks' not 'in the corn' as the surrounding fields might suggest, is Iowa's fast-growing capital. The city has an amazing state capitol building, buzzing enclaves like the East Village and one of the nation's best state fairs. Pause for a night, but then get out and see the rest of Iowa.",
102,102,Tacoma,Washington,216279,198397,9.01,49.7,128.7,4251,1641,47°15′08″N122°27′35″W﻿ / ﻿47.2522°N 122.4598°W﻿ /47.2522; -122.4598﻿ ,"/wiki/Tacoma,_Washington",,
103,103,San Bernardino,California,215941,209924,2.87,61.5,159.3,3516,1358,34°08′30″N117°17′37″W﻿ / ﻿34.1416°N 117.2936°W﻿ /34.1416; -117.2936﻿ ,"/wiki/San_Bernardino,_California","Renowned as the elite escape for the privileged of Asunción, tranquil 'San Ber' is a trendy place to relax or party: pubs, discos, upmarket hotels and restaurants line the shady cobbled streets of Lago Ypacaraí's eastern shore. Despite its reputation, there's plenty for budget travelers as well. In high season a pleasure boat takes passengers for short cruises on the lake. Unfortunately, you won't want to swim in the lake – it's filthy.", 
104,104,Modesto,California,215030,201165,6.89,43,111.4,4934,1905,37°38′15″N121°00′11″W﻿ / ﻿37.6375°N 121.0030°W﻿ /37.6375; -121.0030﻿ ,"/wiki/Modesto,_California","Cruising was banned in Modesto in 1993, but the town still touts itself as the ‘cruising capital of the world.’ The pastime's notoriety stems mostly from homegrown George Lucas’ 1973 film American Graffiti. You’ll still see hot rods and flashy wheels around town, but they no longer clog thoroughfares on Friday nights.", 
105,105,Fontana,California,213739,196069,9.01,43,111.4,4876,1883,34°06′32″N117°27′46″W﻿ / ﻿34.1090°N 117.4629°W﻿ /34.1090; -117.4629﻿ ,"/wiki/Fontana,_California",,
106,106,Santa Clarita,California,210089,176320,19.15,52.8,136.8,3446,1331,34°24′11″N118°30′15″W﻿ / ﻿34.4030°N 118.5042°W﻿ /34.4030; -118.5042﻿ ,"/wiki/Santa_Clarita,_California",,
107,107,Birmingham,Alabama,209880,212237,−1.11,146.1,378.4,1452,561,33°31′39″N86°47′56″W﻿ / ﻿33.5274°N 86.7990°W﻿ /33.5274; -86.7990﻿ ,"/wiki/Birmingham,_Alabama","Birmingham is a confluence of leafy green space, fantastic bars and restaurants, and innovative public space projects. It's also a far more liberal town than you may expect given the political proclivities of its home state. This town may lack the name-brand recognition of musical powerhouses like New Orleans and Nashville, or business centers like Atlanta and Houston, but as mid-sized cities go, Birmingham is hard to beat.",
108,108,Oxnard,California,209877,197899,6.05,26.9,69.7,7729,2984,34°12′08″N119°12′17″W﻿ / ﻿34.2023°N 119.2046°W﻿ /34.2023; -119.2046﻿ ,"/wiki/Oxnard,_California",,
109,109,Fayetteville,North Carolina,209468,200564,4.44,147.7,382.5,1386,535,35°04′58″N78°58′25″W﻿ / ﻿35.0828°N 78.9735°W﻿ /35.0828; -78.9735﻿ ,"/wiki/Fayetteville,_North_Carolina","Packed tight with good restaurants and watering holes, pint-sized Fayetteville acts as a jumping-off point for New River thrill-seekers. Definitely plan to stop here for a meal if you're adventuring in the area. It's an artsy mountain enclave as well.", 
110,110,Moreno Valley,California,209050,193365,8.11,51.3,132.9,4006,1547,33°55′24″N117°12′21″W﻿ / ﻿33.9233°N 117.2057°W﻿ /33.9233; -117.2057﻿ ,"/wiki/Moreno_Valley,_California",,
111,111,Rochester,New York,206284,210565,−2.03,35.8,92.7,5835,2253,43°10′12″N77°37′01″W﻿ / ﻿43.1699°N 77.6169°W﻿ /43.1699; -77.6169﻿ ,"/wiki/Rochester,_New_York","Those who have heard the prevailing hearsay about Rochester – that it's a gritty, failed post-industrial city – may be surprised to find that it's an energized city with a world-class restaurant scene, friendly bars, stunning architecture and museums covering everything from the city's important history of activism to children's games. Although the winters are notoriously rough, the city is open year-round and you'll find that a little snow doesn't stop the locals from taking advantage of everything their city has to offer.", 
112,112,Glendale,California,201361,191719,5.03,30.4,78.7,6606,2551,34°10′53″N118°14′45″W﻿ / ﻿34.1814°N 118.2458°W﻿ /34.1814; -118.2458﻿ ,"/wiki/Glendale,_California",,
113,113,Huntington Beach,California,200641,189992,5.6,26.9,69.7,7459,2880,33°41′26″N118°00′33″W﻿ / ﻿33.6906°N 118.0093°W﻿ /33.6906; -118.0093﻿ ,"/wiki/Huntington_Beach,_California","'No worries' is the phrase you'll hear over and over in Huntington Beach, the town that goes by the trademarked nickname 'Surf City USA.' In 1910 real-estate developer and railroad magnate Henry Huntington hired Hawaiian-Irish surfing star George Freeth to give demonstrations. When legendary surfer Duke Kahanamoku moved here in 1925, that solidified its status as a surf destination. Buyers for major retailers come here to see what surfers are wearing, then market the look.", 
114,114,Salt Lake City,Utah,200591,186440,7.59,111.2,288,1742,673,40°46′37″N111°55′52″W﻿ / ﻿40.7769°N 111.9310°W﻿ /40.7769; -111.9310﻿ ,/wiki/Salt_Lake_City,,
115,115,Grand Rapids,Michigan,200217,188040,6.48,44.4,115,4424,1708,42°57′40″N85°39′20″W﻿ / ﻿42.9612°N 85.6556°W﻿ /42.9612; -85.6556﻿ ,"/wiki/Grand_Rapids,_Michigan","The second-largest city in Michigan, Grand Rapids is known for office-furniture manufacturing and, more recently, beer tourism. Around 20 craft breweries operate in town. Some non-beer sights intrigue as well.",
116,116,Amarillo,Texas,199924,190695,4.84,101.4,262.6,1968,760,35°12′00″N101°49′49″W﻿ / ﻿35.1999°N 101.8302°W﻿ /35.1999; -101.8302﻿ ,"/wiki/Amarillo,_Texas",,
117,117,Yonkers,New York,199663,195976,1.88,18,46.6,11156,4307,40°56′45″N73°52′03″W﻿ / ﻿40.9459°N 73.8674°W﻿ /40.9459; -73.8674﻿ ,"/wiki/Yonkers,_New_York",,
118,118,Aurora,Illinois,199602,197899,0.86,44.9,116.3,4479,1729,41°45′49″N88°17′24″W﻿ / ﻿41.7635°N 88.2901°W﻿ /41.7635; -88.2901﻿ ,"/wiki/Aurora,_Illinois",,
119,119,Montgomery,Alabama,198218,205764,−3.67,159.8,413.9,1252,483,32°20′50″N86°15′58″W﻿ / ﻿32.3472°N 86.2661°W﻿ /32.3472; -86.2661﻿ ,"/wiki/Montgomery,_Alabama","Alabama's capital is a skein of forested streets, red-brick architecture and lonely railways, attached to a few government buildings and a cobblestoned downtown that accrues much of the area's new investment.",
120,120,Akron,Ohio,198006,199110,−0.55,62,160.6,3188,1231,41°04′50″N81°31′17″W﻿ / ﻿41.0805°N 81.5214°W﻿ /41.0805; -81.5214﻿ ,"/wiki/Akron,_Ohio",,
121,121,Little Rock,Arkansas,197881,193524,2.25,118.7,307.4,1673,646,34°43′31″N92°21′31″W﻿ / ﻿34.7254°N 92.3586°W﻿ /34.7254; -92.3586﻿ ,"/wiki/Little_Rock,_Arkansas",,
122,122,Huntsville,Alabama,197318,180105,9.56,213.4,552.7,905,349,34°41′56″N86°40′23″W﻿ / ﻿34.6990°N 86.6730°W﻿ /34.6990; -86.6730﻿ ,"/wiki/Huntsville,_Alabama","The city of Huntsville stretches over the green North Alabama hills like a prosperous afterthought to all of the area's surrounding natural beauty. Let's be honest: Alabamians have to contend with a lot of Southern hayseed stereotypes, yet Huntsville, home of NASA's Marshall Space Flight Center, puts paid to that cliche. Marshall is the government's research center for civilian rocketry and spacecraft propulsion, so if you're in Huntsville and someone says something along the lines of, 'it doesn't take a rocket scientist' – well, this is a town full of literal rocket scientists (the point is underlined by Huntsville's nickname of Rocket City).", 
123,123,Augusta,Georgia,196939,195844,0.56,302.5,783.5,652,252,33°21′56″N82°04′24″W﻿ / ﻿33.3655°N 82.0734°W﻿ /33.3655; -82.0734﻿ ,"/wiki/Augusta,_Georgia","Although not the smallest state capital in the US (an honor reserved for Montpelier, Vermont), Augusta sure feels like it. On a peaceful stretch of the Kennebec River, boaters cast for dinner while the glittering dome of the State House looms just over the treeline.",
124,124,Port St. Lucie,Florida,195248,164603,18.62,118.9,307.9,1557,601,27°16′50″N80°23′18″W﻿ / ﻿27.2806°N 80.3883°W﻿ /27.2806; -80.3883﻿ ,"/wiki/Port_St._Lucie,_Florida",,
125,125,Grand Prairie,Texas,194614,175396,10.96,72.3,187.3,2637,1018,32°41′13″N97°01′16″W﻿ / ﻿32.6869°N 97.0211°W﻿ /32.6869; -97.0211﻿ ,"/wiki/Grand_Prairie,_Texas",,
126,126,Columbus,Georgia,194160,189885,2.25,216.4,560.5,913,353,32°30′37″N84°52′30″W﻿ / ﻿32.5102°N 84.8749°W﻿ /32.5102; -84.8749﻿ ,"/wiki/Columbus,_Georgia",,
127,127,Tallahassee,Florida,193551,181376,6.71,100.4,260,1901,734,30°27′18″N84°15′12″W﻿ / ﻿30.4551°N 84.2534°W﻿ /30.4551; -84.2534﻿ ,"/wiki/Tallahassee,_Florida","Florida's capital, cradled between gently rising hills and nestled beneath tree-canopied roadways, is geographically closer to Atlanta than it is to Miami. Culturally, it's far closer to the Deep South than the majority of the state it governs.",is slow-paced student life
128,128,Overland Park,Kansas,192536,173372,11.05,75.1,194.5,2516,971,38°53′20″N94°41′26″W﻿ / ﻿38.8890°N 94.6906°W﻿ /38.8890; -94.6906﻿ ,"/wiki/Overland_Park,_Kansas",,
129,129,Tempe,Arizona,192364,161719,18.95,40,103.6,4562,1761,33°23′18″N111°55′54″W﻿ / ﻿33.3884°N 111.9318°W﻿ /33.3884; -111.9318﻿ ,"/wiki/Tempe,_Arizona",, 
130,130,McKinney,Texas,191645,131117,46.16,63,163.2,2735,1056,33°11′55″N96°40′05″W﻿ / ﻿33.1985°N 96.6680°W﻿ /33.1985; -96.6680﻿ ,"/wiki/McKinney,_Texas","Visitors to McKinney will find no shortage of reminders that the historic town was once named one of the best places to live in the US. Certainly, compared to the created-from-scratch vibe of nearby Frisco, it has a real patina of authenticity.", 
131,131,Mobile,Alabama,189572,195111,−2.84,139.4,361,1384,534,30°40′06″N88°06′01″W﻿ / ﻿30.6684°N 88.1002°W﻿ /30.6684; -88.1002﻿ ,"/wiki/Mobile,_Alabama","Wedged between Mississippi and Florida, the only real Alabama coastal city is Mobile (mo-beel), a busy industrial seaport with a smattering of green space, shady boulevards and four historic districts. It's ablaze with azaleas in early spring, and festivities are held throughout February for Mardi Gras, which has been celebrated here for nearly 200 years (longer than Mardi Gras in New Orleans).",
132,132,Cape Coral,Florida,189343,154305,22.71,105.6,273.5,1703,658,26°38′36″N81°59′51″W﻿ / ﻿26.6432°N 81.9974°W﻿ /26.6432; -81.9974﻿ ,"/wiki/Cape_Coral,_Florida",,
133,133,Shreveport,Louisiana,188987,199311,−5.18,107.1,277.4,1820,700,32°28′01″N93°47′32″W﻿ / ﻿32.4669°N 93.7922°W﻿ /32.4669; -93.7922﻿ ,"/wiki/Shreveport,_Louisiana","Shreveport's identity is a bit of a puzzle. It's a Louisiana town cut from the largely Baptist fabric of the deep Bible Belt, which, by dint of proximity and economy, feels like an outgrowth of East Texas. It's a city that extends its cultural roots into socially conservative soil, yet its main industry is a crop of Vegas-sized casinos, which give folks from ruby red America a place to crank the sin-pressure relief valve via gambling.", 
134,134,Frisco,Texas,188170,116989,60.84,67.7,175.3,2417,933,33°09′19″N96°49′21″W﻿ / ﻿33.1554°N 96.8226°W﻿ /33.1554; -96.8226﻿ ,"/wiki/Frisco,_Texas","It’s almost startling to find such a cute turn-of-the-20th-century mining town, set high in the Rockies, ringed by peaks, and with another vast sculpted range flexing all the way to Breckenridge – not because it’s strange to find such a soothing, tempting setting in the central Rockies, but rather because Frisco stands alone, flaunting its 19th-century history, rather than kneeling at the foot of some recently developed ski resort. Yet it’s still within 30 minutes of Vail and 10 to 20 minutes of Loveland, Arapahoe Basin, Copper Mountain, Keystone and Breckenridge.", 
135,135,Knoxville,Tennessee,187500,178874,4.82,98.5,255.1,1891,730,35°58′15″N83°56′57″W﻿ / ﻿35.9707°N 83.9493°W﻿ /35.9707; -83.9493﻿ ,"/wiki/Knoxville,_Tennessee","Dubbed a 'scruffy little city' by the Wall Street Journal before the 1982 World's Fair, Knoxville is strutting its stuff these days as an increasingly prominent and polished destination for outdoor, gastronomy and craft-beer enthusiasts. Knoxville is also home to the University of Tennessee and its rabid college-football fan base. On game days the whole town is painted orange as fans pack Neyland Stadium to watch the beloved Volunteers.",
136,136,Worcester,Massachusetts,185877,181045,2.67,37.4,96.9,4933,1905,42°16′10″N71°48′28″W﻿ / ﻿42.2695°N 71.8078°W﻿ /42.2695; -71.8078﻿ ,"/wiki/Worcester,_Massachusetts",,
137,137,Brownsville,Texas,183392,175023,4.78,132.5,343.2,1387,536,25°59′57″N97°27′18″W﻿ / ﻿25.9991°N 97.4550°W﻿ /25.9991; -97.4550﻿ ,"/wiki/Brownsville,_Texas","Brownsville's counterpart across the Rio Grande, the Mexican town of Matamoros, grew to prominence in the 1820s as the Mexican port closest to then-booming New Orleans. After the Mexican-American War (1846–48), American merchants and traders thought it wise to cross the Rio Grande to Texas, where they established Brownsville in 1849. The town was named for Major Jacob Brown, the US commander of Fort Taylor (later renamed Fort Brown), who died during a Mexican raid in 1846.", 
138,138,Vancouver,Washington,183012,161791,13.12,46.9,121.5,3728,1439,45°38′06″N122°35′45″W﻿ / ﻿45.6349°N 122.5957°W﻿ /45.6349; -122.5957﻿ ,"/wiki/Vancouver,_Washington","Walkable neighborhoods, drink-and-dine delights and memorable cultural and outdoor activities framed by dramatic vistas – there's a glassful of great reasons to love this lotusland metropolis.",is a trail through a rainforest
139,139,Fort Lauderdale,Florida,182595,165521,10.32,34.6,89.6,5166,1995,26°08′28″N80°08′48″W﻿ / ﻿26.1412°N 80.1467°W﻿ /26.1412; -80.1467﻿ ,"/wiki/Fort_Lauderdale,_Florida","After years of building a reputation as the destination for beer-swilling college students on raucous spring breaks, Fort Lauderdale now angles for a slightly more mature and sophisticated crowd. Think martinis rather than tequila shots; jazz concerts instead of wet T-shirt contests. But don't worry, there's still plenty of carrying-on within the confines of area bars and nightclubs.",is a day at the beach
